English,Spanish,French,Portuguese,Latin,Filipino
hello,hola,bonjour,ola,salve,kamusta
house,casa,loger,casa,domum,bahay
cat,gato,chat,gato,cattus,cat
dog,perro,chien,cachorro,canis,aso
friend,amigo,ami,amigo,amica,kaibigan
girl,chica,fille,garota,puella,babae
boy,chico,garcon,garoto,puer,boy
food,alimento,nourriture,comida,cibus,pagkain
teacher,maestro,professeur,professor,magister,guro
happy,feliz,content,feliz,felix,masaya
sad,triste,triste,triste,tristis,malungkot
mother,madre,mere,mae,mater,ina
father,padre,pere,pai,pater,ama
brother,hermano,frere,irmao,frater,kapatid
sister,hermana,soeur,irma,soror,ate
